age,education,marital-status,race,occupation
<=80,College,*,*,Craft-repair
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Tech-support
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Protective-serv
<=80,College,*,*,
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Protective-serv
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Tech-support
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Protective-serv
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,?
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Tech-support
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Tech-support
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,?
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Protective-serv
<=80,College,*,*,Sales
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Other-service
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Transport-moving
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Tech-support
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,?
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Protective-serv
<=80,College,*,*,?
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Transport-moving
<=80,College,*,*,?
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Tech-support
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Transport-moving
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Transport-moving
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Craft-repair
<=80,College,*,*,Craft-repair
<=80,College,*,*,Craft-repair
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Tech-support
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Protective-serv
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Protective-serv
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Other-service
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Craft-repair
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,?
<=80,College,*,*,Craft-repair
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Tech-support
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,?
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Transport-moving
<=80,College,*,*,Transport-moving
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,?
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,?
<=80,College,*,*,Transport-moving
<=80,College,*,*,Transport-moving
<=80,College,*,*,Protective-serv
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Craft-repair
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Craft-repair
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Transport-moving
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Craft-repair
<=80,College,*,*,?
<=80,College,*,*,?
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Transport-moving
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Tech-support
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Craft-repair
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Tech-support
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Protective-serv
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,?
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,?
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Protective-serv
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,
<=80,College,*,*,Transport-moving
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Craft-repair
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,?
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,?
<=80,College,*,*,Tech-support
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Transport-moving
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,?
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,?
<=80,College,*,*,Craft-repair
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Adm-clerical
<=80,College,*,*,?
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,Tech-support
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,?
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Tech-support
<=80,College,*,*,
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Protective-serv
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Protective-serv
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,?
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Tech-support
<=80,College,*,*,Craft-repair
<=80,College,*,*,?
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Transport-moving
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Protective-serv
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Transport-moving
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,?
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Tech-support
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Tech-support
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Tech-support
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,?
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Transport-moving
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Craft-repair
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Tech-support
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Craft-repair
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,
<=80,College,*,*,Transport-moving
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Protective-serv
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Transport-moving
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Sales
<=80,College,*,*,Other-service
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Protective-serv
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Craft-repair
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Other-service
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Craft-repair
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Tech-support
<=80,College,*,*,Craft-repair
<=80,College,*,*,Other-service
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,?
<=80,College,*,*,Tech-support
<=80,College,*,*,
<=80,College,*,*,Sales
<=80,College,*,*,?
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Other-service
<=80,College,*,*,Transport-moving
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Exec-managerial
<=80,College,*,*,
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Other-service
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Sales
<=80,College,*,*,Handlers-cleaners
<=80,College,*,*,Sales
<=80,College,*,*,Exec-managerial
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Other-service
<=80,College,*,*,Sales
<=80,College,*,*,Priv-house-serv
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Sales
<=80,College,*,*,Adm-clerical
<=80,College,*,*,Sales
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Craft-repair
<=80,College,*,*,Sales
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Prof-specialty
<=80,College,*,*,Machine-op-inspct
<=80,College,*,*,Farming-fishing
<=80,College,*,*,Transport-moving
<=80,College,*,*,Exec-managerial
