age,education,marital-status,race,occupation
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Farming-fishing
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Machine-op-inspct
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,?
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Adm-clerical
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Tech-support
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Sales
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Other-service
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Handlers-cleaners
<60,Assoc,Married,Person,Transport-moving
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Prof-specialty
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Craft-repair
<60,Assoc,Married,Person,Protective-serv
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Exec-managerial
<60,Assoc,Married,Person,Sales
