age,education,marital-status,race,income,occupation
20-39,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Assoc,Married-spouse,General,>50K,Machine-op-inspct
20-39,Assoc,Married-spouse,General,>50K,Exec-managerial
60-79,College,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Sales
20-39,Assoc,Never-Married,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,American,>50K,Other-service
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Protective-serv
20-39,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Assoc,Married-spouse,General,>50K,Sales
20-39,Higher Education,Married-spouse,General,>50K,Adm-clerical
20-39,Higher Education,Married-spouse,General,>50K,Other-service
40-59,Assoc,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Seperated,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Craft-repair
60-79,College,Married-spouse,General,>50K,Sales
20-39,Higher Education,Married-spouse,General,>50K,Protective-serv
40-59,College,Married-spouse,General,>50K,Adm-clerical
40-59,Higher Education,Married-spouse,General,>50K,Other-service
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Sales
40-59,PreSchool,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,?
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Prof-specialty
20-39,Assoc,Married-spouse,General,>50K,Machine-op-inspct
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Assoc,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Prof-specialty
40-59,Higher Education,Seperated,General,>50K,Sales
60-79,Higher Education,Married-spouse,General,>50K,Sales
40-59,PreSchool,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Adm-clerical
40-59,Higher Education,Married-spouse,General,>50K,Machine-op-inspct
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
60-79,PreSchool,Married-spouse,General,>50K,?
20-39,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Seperated,General,>50K,Prof-specialty
40-59,Assoc,Married-spouse,General,>50K,Adm-clerical
40-59,College,Married-spouse,General,>50K,Sales
20-39,Assoc,Married-spouse,General,>50K,Sales
60-79,Higher Education,Married-spouse,General,>50K,Tech-support
20-39,College,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Prof-specialty
40-59,Assoc,Married-spouse,General,>50K,Handlers-cleaners
40-59,Assoc,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,American,>50K,Adm-clerical
40-59,Higher Education,Married-spouse,General,>50K,Adm-clerical
60-79,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Sales
20-39,Higher Education,Married-spouse,General,>50K,Other-service
40-59,Higher Education,Married-spouse,American,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Other-service
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Sales
60-79,Higher Education,Married-spouse,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Protective-serv
60-79,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,American,>50K,Exec-managerial
20-39,PreSchool,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,American,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Sales
60-79,PreSchool,Married-spouse,General,>50K,Craft-repair
20-39,College,Never-Married,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Other-service
20-39,College,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Craft-repair
20-39,Higher Education,Seperated,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Machine-op-inspct
40-59,College,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Sales
20-39,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Never-Married,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Seperated,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,?
20-39,Higher Education,Married-spouse,General,>50K,Machine-op-inspct
40-59,College,Married-spouse,General,>50K,Prof-specialty
60-79,Higher Education,Married-spouse,General,>50K,Craft-repair
60-79,Higher Education,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Assoc,Married-spouse,General,>50K,Craft-repair
60-79,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Sales
20-39,Higher Education,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Tech-support
20-39,Assoc,Married-spouse,General,>50K,Tech-support
20-39,College,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Transport-moving
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Seperated,General,>50K,Craft-repair
20-39,Higher Education,Never-Married,General,>50K,Craft-repair
20-39,Assoc,Married-spouse,American,>50K,Craft-repair
40-59,College,Married-spouse,American,>50K,Adm-clerical
20-39,College,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Craft-repair
40-59,Higher Education,Never-Married,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Machine-op-inspct
20-39,College,Married-spouse,General,>50K,Adm-clerical
20-39,College,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Sales
20-39,Assoc,Married-spouse,General,>50K,Adm-clerical
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,?
20-39,College,Married-spouse,General,>50K,Prof-specialty
20-39,Higher Education,Married-spouse,General,>50K,Sales
60-79,Higher Education,Married-spouse,General,>50K,?
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Craft-repair
20-39,Higher Education,Never-Married,General,>50K,Exec-managerial
20-39,Assoc,Seperated,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
60-79,Assoc,Married-spouse,General,>50K,Adm-clerical
20-39,Higher Education,Seperated,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Assoc,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
40-59,Assoc,Married-spouse,General,>50K,Craft-repair
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Tech-support
40-59,College,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,Assoc,Married-spouse,General,>50K,?
40-59,Assoc,Married-spouse,General,>50K,Craft-repair
20-39,College,Married-spouse,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Craft-repair
40-59,Assoc,Seperated,General,>50K,Prof-specialty
40-59,College,Seperated,General,>50K,Exec-managerial
60-79,College,Married-spouse,General,>50K,Sales
40-59,College,Seperated,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Handlers-cleaners
20-39,Higher Education,Married-spouse,General,>50K,Tech-support
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Tech-support
20-39,College,Seperated,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
20-39,Higher Education,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Sales
40-59,College,Seperated,General,>50K,Prof-specialty
20-39,Higher Education,Never-Married,General,>50K,Prof-specialty
20-39,College,Never-Married,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,Prof-specialty
20-39,Higher Education,Married-spouse,General,>50K,Craft-repair
20-39,Higher Education,Married-spouse,General,>50K,Protective-serv
20-39,College,Married-spouse,General,>50K,Adm-clerical
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Sales
40-59,PreSchool,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Transport-moving
40-59,College,Married-spouse,General,>50K,Tech-support
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,Sales
40-59,Higher Education,Seperated,General,>50K,Protective-serv
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,PreSchool,Married-spouse,General,>50K,Machine-op-inspct
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Never-Married,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Other-service
20-39,Higher Education,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Never-Married,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,General,>50K,Protective-serv
20-39,Assoc,Married-spouse,General,>50K,Adm-clerical
40-59,Higher Education,Seperated,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Machine-op-inspct
40-59,Higher Education,Married-spouse,General,>50K,Transport-moving
60-79,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Tech-support
40-59,Higher Education,Married-spouse,General,>50K,Sales
40-59,Assoc,Married-spouse,General,>50K,Sales
20-39,College,Never-Married,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Prof-specialty
60-79,College,Married-spouse,General,>50K,Exec-managerial
40-59,Assoc,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Sales
20-39,College,Married-spouse,General,>50K,Prof-specialty
20-39,Higher Education,Married-spouse,General,>50K,Sales
60-79,College,Married-spouse,General,>50K,Sales
20-39,Higher Education,Never-Married,General,>50K,Exec-managerial
60-79,PreSchool,Married-spouse,General,>50K,Craft-repair
20-39,Higher Education,Seperated,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Prof-specialty
60-79,Higher Education,Never-Married,General,>50K,Prof-specialty
20-39,Higher Education,Married-spouse,General,>50K,Handlers-cleaners
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,American,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Craft-repair
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Craft-repair
60-79,Higher Education,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Sales
40-59,College,Never-Married,General,>50K,Exec-managerial
20-39,Assoc,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Transport-moving
20-39,College,Married-spouse,General,>50K,Transport-moving
40-59,Higher Education,Married-spouse,General,>50K,Sales
40-59,Higher Education,Married-spouse,American,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Exec-managerial
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Sales
40-59,College,Married-spouse,General,>50K,Tech-support
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Exec-managerial
40-59,College,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Exec-managerial
60-79,Higher Education,Married-spouse,General,>50K,Prof-specialty
20-39,College,Married-spouse,General,>50K,Exec-managerial
40-59,Higher Education,Married-spouse,General,>50K,Prof-specialty
40-59,College,Married-spouse,General,>50K,Exec-managerial
20-39,Higher Education,Married-spouse,General,>50K,Adm-clerical
40-59,Higher Education,Married-spouse,General,>50K,Exec-managerial
60-79,Assoc,Seperated,General,>50K,Prof-specialty
40-59,Higher Education,Never-Married,General,>50K,Craft-repair
